dataset,seed,method,optimizer,evals,val_loss,val_triad,val_ap,C,gamma,cost_pos,blend_alpha,selected_feature_count,selected_features,model_seed,horizon,target_region,gate_selected,gate_utility_simple,gate_utility_fused,gate_difference,gate_standard_error,gate_required_margin
PONE2016_h2_target_North_America,20260729,Uncertainty_gated_fusion,architecture_gate,0,,,,,,,-1.0,,[],20260729,2,North America,KELM_risk_feature,0.564751924551495,0.5010851949322391,-0.0636667296192559,0.07335794015239665,0.07335794015239665
PONE2016_h2_target_North_America,20260729,Full_random_search,Random,81,0.30951268653629455,0.6966950706953473,0.8325540129416116,26.5263462070774,0.08679117443927381,0.1437792647306108,0.7,5.0,"[4, 5, 6, 9, 11]",20261130,2,North America,,,,,,
PONE2016_h3_target_Asia,20260729,KELM_PBMSBAINGO,PBMSBAINGO,81,0.2646196885889127,0.7490582433525212,0.799304613559296,8.97832625861299,0.34151566851864223,0.7161551102687971,-1.0,6.0,"[1, 2, 3, 4, 5, 9]",20260830,3,Asia,,,,,,
PONE2016_h3_target_Asia,20260729,KELM_score_fusion,reuses_plain_KELM,0,,,,,,,0.7,,"[1, 2, 3, 4, 5, 9]",20260729,3,Asia,,,,,,
PONE2016_h3_target_Asia,20260729,KELM_risk_feature,PBMSBAINGO,81,0.27373916905624607,0.7331848240683341,0.8920461457681222,3.59884549504179,0.255769246042273,0.37629088127969756,-1.0,5.0,"[1, 4, 5, 9, 11]",20260940,3,Asia,,,,,,
PONE2016_h3_target_Asia,20260729,Full_PBMSBAINGO,PBMSBAINGO,81,0.27909204984164687,0.7298777711334044,0.863037924540234,138.00328213747974,0.06400264642946821,1.3162283836351891,0.7,5.0,"[1, 4, 5, 6, 11]",20261036,3,Asia,,,,,,
PONE2016_h3_target_Asia,20260729,Uncertainty_gated_fusion,architecture_gate,0,,,,,,,-1.0,,[],20260729,3,Asia,KELM_risk_feature,0.5534593744028686,0.47971683998149334,-0.0737425344213753,0.06008463653075864,0.06008463653075864
PONE2016_h3_target_Asia,20260729,Full_random_search,Random,81,0.2980357079160487,0.7085329613768555,0.8452253498188149,113.5170950201191,0.4367868049666146,1.5346439288232472,0.3,4.0,"[1, 5, 6, 11]",20261130,3,Asia,,,,,,
PONE2016_h3_target_Europe,20260729,KELM_PBMSBAINGO,PBMSBAINGO,81,0.2780873691104915,0.7300518040277812,0.8830844620396026,1.5854646885115498,6.853796047262351,0.4764505626290952,-1.0,5.0,"[1, 3, 4, 5, 10]",20260830,3,Europe,,,,,,
PONE2016_h3_target_Europe,20260729,KELM_score_fusion,reuses_plain_KELM,0,,,,,,,0.7,,"[1, 3, 4, 5, 10]",20260729,3,Europe,,,,,,
PONE2016_h3_target_Europe,20260729,KELM_risk_feature,PBMSBAINGO,81,0.30730629568791396,0.7003173164532517,0.8571511087670088,12.025049606864577,0.2174231923100174,0.4758669489864916,-1.0,5.0,"[1, 4, 8, 9, 11]",20260940,3,Europe,,,,,,
PONE2016_h3_target_Europe,20260729,Full_PBMSBAINGO,PBMSBAINGO,81,0.28205417791001886,0.7275551632206813,0.8400857877073048,0.02476793468275583,0.7568202027548004,13.197908033640132,0.3,5.0,"[1, 3, 4, 6, 11]",20261036,3,Europe,,,,,,
PONE2016_h3_target_Europe,20260729,Uncertainty_gated_fusion,architecture_gate,0,,,,,,,-1.0,,[],20260729,3,Europe,KELM_risk_feature,0.49491028662946984,0.432699910623927,-0.062210376005542856,0.06981677389655679,0.06981677389655679
PONE2016_h3_target_Europe,20260729,Full_random_search,Random,81,0.2823235883709616,0.7275551632206813,0.8131447416130329,1032.4013041368316,3.789095891767027,1.444467275722372,0.1,5.0,"[3, 5, 7, 10, 11]",20261130,3,Europe,,,,,,
PONE2016_h3_target_North_America,20260729,KELM_PBMSBAINGO,PBMSBAINGO,81,0.25221928895342227,0.7614663560239247,0.8059863972780669,401.37503817653965,0.1679183747408306,0.6346638184881402,-1.0,6.0,"[3, 4, 5, 8, 9, 10]",20260830,3,North America,,,,,,
PONE2016_h3_target_North_America,20260729,KELM_score_fusion,reuses_plain_KELM,0,,,,,,,0.05,,"[3, 4, 5, 8, 9, 10]",20260729,3,North America,,,,,,
PONE2016_h3_target_North_America,20260729,KELM_risk_feature,PBMSBAINGO,81,0.2563011351600767,0.7602644044978872,0.783782398495303,3.271737900010238,0.5789724047829293,0.647477114272971,-1.0,8.0,"[2, 3, 4, 5, 7, 8, 9, 11]",20260940,3,North America,,,,,,
PONE2016_h3_target_North_America,20260729,Full_PBMSBAINGO,PBMSBAINGO,81,0.2281097678193037,0.7896206373815737,0.8504473959196615,127.51844302894202,1.0075727139911068,0.6500881932475142,0.7,9.0,"[1, 3, 5, 6, 7, 8, 9, 10, 11]",20261036,3,North America,,,,,,
PONE2016_h3_target_North_America,20260729,Uncertainty_gated_fusion,architecture_gate,0,,,,,,,0.7,,[],20260729,3,North America,Full_PBMSBAINGO,0.34409762392653365,0.5055876375604582,0.16149001363392457,0.10675251530679923,0.10675251530679923
PONE2016_h3_target_North_America,20260729,Full_random_search,Random,81,0.22293806162436144,0.7881290220678859,0.826510096014481,5210.354549543607,4.774608561769603,9.155754317093816,0.5,5.0,"[1, 4, 9, 10, 11]",20261130,3,North America,,,,,,
