dataset,seed,method,category,source,gmean,sensitivity,specificity,precision,f1,f05,f2,balanced_accuracy,fpr,predicted_positive_rate,tp,fp,tn,fn,p_at_10,recall_at_10,p_at_15,recall_at_15,p_at_20,recall_at_20,ap,auc
1year.arff,4,ExtraTrees_balanced,External ML baseline,run_external_baselines.py,0.5672664446511151,0.3703703703703703,0.868836291913215,0.1013513513513513,0.1591511936339522,0.1185770750988142,0.2419354838709677,0.6196033311417927,0.131163708086785,0.1403508771929824,30.0,266.0,1762.0,51.0,0.1232227488151658,0.3209876543209876,0.0977917981072555,0.382716049382716,0.0971563981042654,0.5061728395061729,0.1520064302250743,0.7401989431903961
1year.arff,4,HistGB,External ML baseline,run_external_baselines.py,0.6470843779774518,0.419753086419753,0.997534516765286,0.8717948717948718,0.5666666666666667,0.7172995780590717,0.4683195592286501,0.7086438015925196,0.002465483234714,0.0184921763869132,34.0,5.0,2023.0,47.0,0.2985781990521327,0.7777777777777778,0.2050473186119873,0.8024691358024691,0.1587677725118483,0.8271604938271605,0.6462537526841969,0.9136319916234446
1year.arff,4,LR_balanced,External ML baseline,run_external_baselines.py,0.7194098887723247,0.6296296296296297,0.821992110453649,0.1237864077669902,0.2068965517241379,0.1474840948525159,0.3464673913043478,0.7258108700416392,0.178007889546351,0.1953532479848269,51.0,361.0,1667.0,30.0,0.1706161137440758,0.4444444444444444,0.1419558359621451,0.5555555555555556,0.1208530805687203,0.6296296296296297,0.1667021115674289,0.7706978839457471
1year.arff,4,RF_balanced,External ML baseline,run_external_baselines.py,0.7368129482243769,0.6419753086419753,0.8456607495069034,0.1424657534246575,0.2331838565022421,0.1687216093445814,0.3773584905660377,0.7438180290744394,0.1543392504930966,0.173067804646752,52.0,313.0,1715.0,29.0,0.2085308056872037,0.5432098765432098,0.1545741324921135,0.6049382716049383,0.1350710900473933,0.7037037037037037,0.2873969478018717,0.8348856746292643
1year.arff,5,BalancedRF,External ML baseline,run_external_baselines.py,0.6856277926728686,0.5432098765432098,0.8653846153846154,0.138801261829653,0.2211055276381909,0.1630837657524091,0.3432137285491419,0.7042972459639126,0.1346153846153846,0.1503082029397819,44.0,273.0,1755.0,37.0,0.1658767772511848,0.4320987654320987,0.138801261829653,0.5432098765432098,0.1232227488151658,0.6419753086419753,0.1816298379613566,0.8336103197214308
1year.arff,5,EasyEnsemble,External ML baseline,run_external_baselines.py,0.7590975490999835,0.6296296296296297,0.9151873767258384,0.2286995515695067,0.3355263157894737,0.2620760534429599,0.4661791590493601,0.7724085031777339,0.0848126232741617,0.105737316263632,51.0,172.0,1856.0,30.0,0.2322274881516587,0.6049382716049383,0.1798107255520504,0.7037037037037037,0.1516587677725118,0.7901234567901234,0.3324631041393646,0.8881096744344608
1year.arff,5,ExtraTrees_balanced,External ML baseline,run_external_baselines.py,0.6427327695904521,0.5555555555555556,0.7435897435897436,0.079646017699115,0.1393188854489164,0.0961127723195215,0.2530933633295838,0.6495726495726496,0.2564102564102564,0.2678994784257942,45.0,520.0,1508.0,36.0,0.1279620853080568,0.3333333333333333,0.113564668769716,0.4444444444444444,0.0947867298578199,0.4938271604938271,0.1274132845960968,0.7379587016339153
1year.arff,5,HistGB,External ML baseline,run_external_baselines.py,0.7427788092108357,0.5555555555555556,0.9930966469428008,0.7627118644067796,0.6428571428571429,0.7097791798107256,0.587467362924282,0.7743261012491782,0.0069033530571992,0.0279753437648174,45.0,14.0,2014.0,36.0,0.2890995260663507,0.7530864197530864,0.1987381703470031,0.7777777777777778,0.1563981042654028,0.8148148148148148,0.6751378678960062,0.906731682372708
1year.arff,5,LR_balanced,External ML baseline,run_external_baselines.py,0.6721096020114075,0.5555555555555556,0.8131163708086785,0.1061320754716981,0.1782178217821782,0.1266178953292065,0.3008021390374331,0.6843359631821171,0.1868836291913215,0.2010431484115694,45.0,379.0,1649.0,36.0,0.1516587677725118,0.3950617283950617,0.1261829652996845,0.4938271604938271,0.1066350710900474,0.5555555555555556,0.1625997555513144,0.7500060876129253
1year.arff,5,RF_balanced,External ML baseline,run_external_baselines.py,0.59507683861837,0.3703703703703703,0.9561143984220908,0.2521008403361344,0.3,0.2692998204667863,0.3386004514672686,0.6632423843962305,0.0438856015779092,0.0564248458985301,30.0,89.0,1939.0,51.0,0.1990521327014218,0.5185185185185185,0.1861198738170347,0.7283950617283951,0.1469194312796208,0.7654320987654321,0.2905293705250676,0.8691589353982516
