"dataset","optimizer","seed","ensemble_size","neg_pos_ratio","feature_mode","risk_feature","score_blend_alpha","auto_blend","evals","val_loss","val_gmean","val_sensitivity","val_specificity","val_f2","val_ap","test_gmean","test_sensitivity","test_specificity","test_precision","test_f1","test_f05","test_f2","test_mcc","test_triad_score","test_balanced_accuracy","test_fpr","test_predicted_positive_rate","test_tp","test_fp","test_tn","test_fn","test_p_at_10","test_recall_at_10","test_p_at_15","test_recall_at_15","test_p_at_20","test_recall_at_20","test_ap","test_auc","test_threshold","test_feature_count","test_C","test_gamma","test_cost_pos","test_blend_alpha","selected_features"
"3year.arff","PBMSBAINGO","1","1","3.0","binary","histgb","0.05","False","706.0","0.325000655653824","0.7753631680331902","0.6212121212121212","0.9677661169415293","0.5890804597701149","0.5515428214661885","0.7512909061450657","0.5906040268456376","0.9556962025316456","0.39819004524886875","0.4756756756756757","0.4259438528557599","0.5385556915544676","0.45404606269750575","0.6351925455624607","0.7731501146886416","0.04430379746835443","0.07013646461440813","88.0","133.0","2869.0","61.0","0.2848101265822785","0.6040268456375839","0.2029598308668076","0.6442953020134228","0.16957210776545167","0.7181208053691275","0.5200991685170904","0.8755572347741325","0.03765986846936375","4.0","136.7987620042215","0.9740803944169505","0.42044459216294544","0.05","[13, 27, 41, 65]"
"3year.arff","PBMSBAINGO","2","1","3.0","binary","histgb","0.05","False","708.0","0.36531598920693603","0.8066792748395055","0.7121212121212122","0.9137931034482759","0.5516431924882629","0.49455075004013105","0.7157657754439446","0.5704697986577181","0.8980679546968687","0.21739130434782608","0.3148148148148148","0.24810274372446","0.43059777102330293","0.3016477909448456","0.5366370688917697","0.7342688766772933","0.10193204530313124","0.12408759124087591","85.0","306.0","2696.0","64.0","0.25949367088607594","0.5503355704697986","0.18604651162790697","0.5906040268456376","0.14580031695721077","0.6174496644295302","0.4172677795834539","0.8033950520681962","0.03501860801349404","21.0","1769.500130757024","0.00686786622944913","45.703683839511015","0.05","[2, 4, 9, 11, 12, 13, 14, 15, 16, 18, 22, 23, 24, 25, 26, 27, 30, 36, 44, 64, 65]"
"3year.arff","PBMSBAINGO","3","1","3.0","binary","histgb","0.05","False","708.0","0.38772643518405175","0.7678634538557016","0.6363636363636364","0.9265367316341829","0.5198019801980198","0.4689033073959303","0.7691473923123427","0.6510067114093959","0.9087275149900067","0.261455525606469","0.3730769230769231","0.2969993876301286","0.5015511892450879","0.3686132899449783","0.60190790127582","0.7798671131997013","0.09127248500999334","0.11774039987305618","97.0","274.0","2728.0","52.0","0.2911392405063291","0.6174496644295302","0.21987315010570824","0.697986577181208","0.18066561014263074","0.7651006711409396","0.5140712924777006","0.8763531247624625","0.020706848258936036","4.0","97.63960354570357","0.01068596936921075","1.3106486736894263","0.05","[13, 41, 58, 65]"
"3year.arff","PBMSBAINGO","4","1","3.0","binary","histgb","0.05","False","705.0","0.2803336768639622","0.8135631300689611","0.6818181818181818","0.9707646176911544","0.646551724137931","0.6308389151459007","0.7276240453270041","0.5503355704697986","0.9620253164556962","0.41836734693877553","0.4753623188405797","0.43944265809217575","0.5176767676767676","0.45026445978520163","0.6200507700634638","0.7561804434627475","0.0379746835443038","0.06220247540463345","82.0","114.0","2888.0","67.0","0.2911392405063291","0.6174496644295302","0.20930232558139536","0.6644295302013423","0.1664025356576862","0.7046979865771812","0.4768046858837627","0.856961131058042","0.04680139439992085","6.0","124.1083618041109","0.19511181036987124","11.849991014465525","0.05","[22, 24, 26, 35, 41, 65]"
"3year.arff","PBMSBAINGO","5","1","3.0","binary","histgb","0.05","False","706.0","0.30263242767317927","0.810100473831523","0.6818181818181818","0.9625187406296851","0.6267409470752089","0.5616950148755392","0.7253529746205729","0.5503355704697986","0.9560293137908061","0.38317757009345793","0.45179063360881544","0.4079601990049751","0.5061728395061729","0.4271724135372203","0.6079959183987261","0.7531824421303024","0.04397068620919387","0.06791494763567121","82.0","132.0","2870.0","67.0","0.3069620253164557","0.6510067114093959","0.2156448202959831","0.6845637583892618","0.17115689381933438","0.7248322147651006","0.49959365524696675","0.8605985271563924","0.045436651514381386","15.0","10000.0","0.0073743176030822664","39.82788281394908","0.05","[1, 2, 5, 6, 7, 11, 16, 17, 27, 41, 42, 44, 46, 51, 65]"
"3year.arff","PBMSBAINGO","6","1","3.0","binary","histgb","0.05","False","708.0","0.39120815173869794","0.7678634538557016","0.6363636363636364","0.9265367316341829","0.5198019801980198","0.42842395962361424","0.7334569067246292","0.5771812080536913","0.9320453031312458","0.296551724137931","0.3917995444191344","0.3284950343773873","0.4853273137697517","0.37389663446055393","0.5859136110876","0.7546132555924685","0.06795469686875416","0.09203427483338622","86.0","204.0","2798.0","63.0","0.2721518987341772","0.5771812080536913","0.19238900634249473","0.610738255033557","0.1537242472266244","0.6510067114093959","0.518318111737851","0.8328496885745075","0.04033384419735178","14.0","5.190297954197821","0.4141650267879835","84.33229006610503","0.05","[1, 11, 14, 15, 22, 23, 25, 26, 33, 42, 44, 50, 52, 65]"
"3year.arff","PBMSBAINGO","7","1","3.0","binary","histgb","0.05","False","705.0","0.374710436188558","0.765084995113519","0.6212121212121212","0.9422788605697151","0.5366492146596858","0.4859719765872629","0.7961289470564172","0.6778523489932886","0.9350433044636909","0.34121621621621623","0.45393258426966293","0.37884471117779445","0.5661434977578476","0.4458985989532081","0.6562474758211568","0.8064478267284898","0.06495669553630913","0.09393843224373215","101.0","195.0","2807.0","48.0","0.31962025316455694","0.6778523489932886","0.22410147991543342","0.7114093959731543","0.17591125198098256","0.7449664429530202","0.5362879173254619","0.8720539774378603","0.028579063771939184","7.0","4.083538410239889","0.9131501148128695","0.6875984781535294","0.05","[16, 24, 27, 42, 48, 58, 65]"
"3year.arff","PBMSBAINGO","8","1","3.0","binary","histgb","0.05","False","699.0","0.30228762120094793","0.8540538760880936","0.7878787878787878","0.9257871064467766","0.6265060240963856","0.5996327941582114","0.7500147178586511","0.610738255033557","0.9210526315789473","0.2774390243902439","0.38155136268343814","0.31143052703627655","0.49242424242424243","0.3696128041914671","0.5924188377625798","0.7658954433062521","0.07894736842105263","0.10409393843224374","91.0","237.0","2765.0","58.0","0.2879746835443038","0.610738255033557","0.22410147991543342","0.7114093959731543","0.1774960380348653","0.7516778523489933","0.5120704440870163","0.8629794901832782","0.03628308075329024","9.0","0.32618302142839284","0.013167756325700941","32.74832907904034","0.05","[13, 15, 16, 19, 24, 27, 39, 58, 65]"
"3year.arff","PBMSBAINGO","9","1","3.0","binary","histgb","0.05","False","702.0","0.316569089239414","0.8265064966230244","0.7272727272727273","0.93928035982009","0.6106870229007634","0.5307106632064195","0.7176031189492358","0.5503355704697986","0.935709526982012","0.29818181818181816","0.3867924528301887","0.32826261008807045","0.4707233065442021","0.36552261942324976","0.5730963346633133","0.7430225487259053","0.06429047301798801","0.08727388130752142","82.0","193.0","2809.0","67.0","0.2689873417721519","0.5704697986577181","0.20084566596194503","0.6375838926174496","0.1664025356576862","0.7046979865771812","0.48910509117468726","0.8435740826026497","0.02634615661674965","8.0","9.953974162036094","0.1386124879477648","0.1","0.05","[2, 4, 9, 15, 18, 27, 63, 65]"
"3year.arff","PBMSBAINGO","10","1","3.0","binary","histgb","0.05","False","701.0","0.32493208932667056","0.7753631680331902","0.6212121212121212","0.9677661169415293","0.5890804597701149","0.5583994541815357","0.7134475579000484","0.5302013422818792","0.9600266489007329","0.3969849246231156","0.4540229885057471","0.41798941798941797","0.4968553459119497","0.427771521539686","0.6016057705370764","0.745113995591306","0.039973351099267154","0.06315455410980642","79.0","120.0","2882.0","70.0","0.30063291139240506","0.6375838926174496","0.21987315010570824","0.697986577181208","0.17274167987321712","0.7315436241610739","0.505091635309279","0.872226122182527","0.03848655212815763","4.0","3.34419501646181","0.0011997712598005306","6.252024183671983","0.05","[8, 10, 42, 65]"
"4year.arff","PBMSBAINGO","1","1","3.0","binary","histgb","0.05","False","710.0","0.28997454109938464","0.7943791777842","0.6486486486486487","0.9728506787330317","0.631578947368421","0.6147736678709113","0.7499956533204285","0.5806451612903226","0.9687387711103126","0.5084745762711864","0.5421686746987951","0.5214368482039398","0.5646173149309912","0.5161531348832105","0.6621636773450859","0.7746919662003175","0.03126122888968739","0.06024506466984343","90.0","87.0","2696.0","65.0","0.36054421768707484","0.6838709677419355","0.26077097505668934","0.7419354838709677","0.20068027210884354","0.7612903225806451","0.5677565812604048","0.8825588538708518","0.04169318307059996","8.0","6.8701870594557155","0.30413705221708026","1.279183364806064","0.05","[8, 15, 21, 27, 38, 45, 53, 65]"
"4year.arff","PBMSBAINGO","2","1","3.0","binary","histgb","0.05","False","703.0","0.34278914398611243","0.8187152918556355","0.7297297297297297","0.918552036199095","0.5895196506550219","0.5089613170611444","0.8060715667042141","0.7096774193548387","0.9155587495508444","0.3188405797101449","0.44","0.3583061889250814","0.5699481865284974","0.43416592927370107","0.6558446517330007","0.8126180844528416","0.08444125044915558","0.11742682096664397","110.0","235.0","2548.0","45.0","0.3707482993197279","0.7032258064516129","0.2585034013605442","0.7354838709677419","0.20408163265306123","0.7741935483870968","0.5850045533944438","0.8762532889780117","0.0288063818844297","27.0","4634.532210666225","0.0009440936425955598","4.739322656155155","0.05","[2, 3, 4, 7, 12, 14, 15, 18, 19, 21, 23, 24, 25, 26, 30, 35, 37, 38, 39, 45, 46, 48, 53, 56, 59, 62, 65]"
"4year.arff","PBMSBAINGO","3","1","3.0","binary","histgb","0.05","False","709.0","0.33253306526513815","0.8342154232486718","0.7702702702702703","0.9034690799396682","0.5925155925155925","0.5143617282269621","0.8236926062434056","0.7483870967741936","0.9065756378009342","0.30851063829787234","0.4369114877589454","0.34960819770946355","0.5823293172690763","0.4382839405933693","0.6674652052401626","0.8274813672875638","0.09342436219906576","0.1279782164737917","116.0","260.0","2523.0","39.0","0.36394557823129253","0.6903225806451613","0.272108843537415","0.7741935483870968","0.21598639455782312","0.8193548387096774","0.5523344921429061","0.8825797178723356","0.030458435362411152","7.0","5.75427681470378","0.5361478577798838","8.187072505031392","0.05","[5, 9, 17, 20, 46, 63, 65]"
"4year.arff","PBMSBAINGO","4","1","3.0","binary","histgb","0.05","False","701.0","0.2998128765057238","0.799494357345017","0.6621621621621622","0.9653092006033183","0.6265984654731458","0.5578810751039573","0.7431612644989231","0.5870967741935483","0.9407114624505929","0.35546875","0.44282238442822386","0.38592027141645463","0.519406392694064","0.41835912510112877","0.6136279392701036","0.7639041183220706","0.05928853754940711","0.08713410483321987","91.0","165.0","2618.0","64.0","0.3231292517006803","0.6129032258064516","0.23129251700680273","0.6580645161290323","0.18197278911564627","0.6903225806451613","0.5046702668497852","0.8567999258168836","0.030176812632277183","9.0","1.467311675102942","0.17063369770634942","0.3952099023903526","0.05","[1, 8, 18, 19, 21, 45, 46, 62, 65]"
