dataset,seed,method,category,source,gmean,sensitivity,specificity,precision,f1,f05,f2,mcc,triad_score,balanced_accuracy,ap,auc,feature_count,features,alpha
1year.arff,2,NGO-KELM,Optimizer-KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6275943306584627,0.4814814814814814,0.8180473372781065,0.0955882352941176,0.1595092024539877,0.1138353765323993,0.2663934426229508,0.1457245960785438,0.38574202962488713,0.649764409379794,0.0918360094415224,0.7401532860934571,29.0,29.0,
1year.arff,2,PBMSBAINGO-HGBKELM(F2-mode),Proposed hybrid optimized KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6549066869763649,0.4320987654320987,0.992603550295858,0.7,0.5343511450381679,0.6227758007117438,0.4679144385026738,0.5364730851772355,0.6127767270781459,0.7123511578639784,0.5401143109994067,0.8706808386295565,5.0,5.0,
1year.arff,2,PBMSBAINGO-HGBKELM(MCC-guarded),Proposed hybrid optimized KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6549066869763649,0.4320987654320987,0.992603550295858,0.7,0.5343511450381679,0.6227758007117438,0.4679144385026738,0.5364730851772355,0.6127767270781459,0.7123511578639784,0.540076286126239,0.8696702948839701,,5.0,
1year.arff,2,PBMSBAINGO-HGBKELM(Sensitivity-mode),Proposed hybrid optimized KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.7893190543790047,0.654320987654321,0.9521696252465484,0.3533333333333333,0.4588744588744589,0.3891336270190896,0.5590717299578059,0.453458681179171,0.6561668687348964,0.8032453064504347,0.5201858359840251,0.84944724474639,6.0,6.0,
1year.arff,2,PBMSBAINGO-HGBKELM(Triad-mode),Proposed hybrid optimized KELM,formal_pbmsbaingo_hgbkelm_triad_alpha005_10seed_complete.csv,0.8022814280595906,0.6666666666666666,0.965483234714004,0.4354838709677419,0.526829268292683,0.4679376083188908,0.6026785714285714,0.5164228631389669,0.6927124283571194,0.8160749506903353,0.64780026308558,0.8786799620132952,9.0,9.0,0.05
1year.arff,2,PBMSBAINGO-KELM,Optimizer-KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6444353759365575,0.5555555555555556,0.747534516765286,0.0807899461400359,0.1410658307210031,0.097444781290602,0.2553916004540295,0.1321218785686352,0.37999495305947856,0.6515450361604208,0.1412626874367561,0.746441790245209,18.0,18.0,
1year.arff,2,RF_balanced,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.7175416021133455,0.5925925925925926,0.868836291913215,0.1528662420382165,0.2430379746835443,0.1795063575168287,0.3761755485893417,0.2491060132631358,0.5043044430151814,0.7307144422529037,0.2202570325180373,0.8186560985706284,,,
1year.arff,2,TIS_NGO-KELM,Optimizer-KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.618601122274535,0.4320987654320987,0.8856015779092702,0.1310861423220973,0.2011494252873563,0.1523063533507397,0.2961082910321489,0.1836088985515492,0.41264036678230853,0.6588501716706845,0.1651148858775479,0.7380043587308545,8.0,8.0,
1year.arff,3,BAINGO-KELM,Optimizer-KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6544184970561349,0.5185185185185185,0.8259368836291914,0.1063291139240506,0.1764705882352941,0.1264298615291992,0.2920723226703755,0.1696701830613696,0.41729087393115394,0.6722277010738549,0.1288272136856103,0.7308240192855577,16.0,16.0,
1year.arff,3,BalancedRF,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6430878509774575,0.4320987654320987,0.9571005917159764,0.2868852459016393,0.3448275862068966,0.3075571177504393,0.3923766816143498,0.3203832113001523,0.5098042520974877,0.6945996785740375,0.3050022832324015,0.8268987264713761,,,
1year.arff,3,EasyEnsemble,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.5933146762163886,0.3580246913580246,0.9832347140039448,0.4603174603174603,0.4027777777777778,0.4354354354354354,0.3746770025839793,0.3852458996749369,0.5137707820389488,0.6706297026809848,0.4046975738072922,0.8799340102758906,,,
1year.arff,3,ExtraTrees_balanced,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.559127243265552,0.3333333333333333,0.9378698224852072,0.1764705882352941,0.2307692307692307,0.1948051948051948,0.2830188679245283,0.2009282875812264,0.3975155573418314,0.6356015779092702,0.2093610011609624,0.7716475515620813,,,
1year.arff,3,HistGB,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.5976135770578408,0.3580246913580246,0.997534516765286,0.8529411764705882,0.5043478260869565,0.6682027649769585,0.4050279329608938,0.5425501726560961,0.5786646319577547,0.6777796040616554,0.5860484871421353,0.9009210558355856,,,
