metric,method_a,method_b,rank_a,rank_b,rank_diff,critical_difference,significant
ap,PBMSBAINGO-HGBKELM(F2-mode),EasyEnsemble,3.6,6.4,2.8000000000000003,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(Triad-mode),PBMSBAINGO-HGBKELM(MCC-guarded),1.0,3.8,2.8,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(MCC-guarded),RF_balanced,3.8,6.6,2.8,10.316121029759566,False
ap,ExtraTrees_balanced,BAINGO-KELM,9.8,12.6,2.799999999999999,10.316121029759566,False
ap,LR_balanced,TIS_NGO-KELM,10.4,13.2,2.799999999999999,10.316121029759566,False
ap,PBMSBAINGO-KELM,INGO-KELM,12.4,15.2,2.799999999999999,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(MCC-guarded),EasyEnsemble,3.8,6.4,2.6000000000000005,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(Triad-mode),PBMSBAINGO-HGBKELM(F2-mode),1.0,3.6,2.6,10.316121029759566,False
ap,HistGB,PBMSBAINGO-HGBKELM(Sensitivity-mode),2.0,4.6,2.5999999999999996,10.316121029759566,False
ap,ExtraTrees_balanced,PBMSBAINGO-KELM,9.8,12.4,2.5999999999999996,10.316121029759566,False
ap,BAINGO-KELM,INGO-KELM,12.6,15.2,2.5999999999999996,10.316121029759566,False
ap,BalancedRF,LR_balanced,8.0,10.4,2.4000000000000004,10.316121029759566,False
ap,MSBAINGO-KELM,NGO-KELM,12.0,14.4,2.4000000000000004,10.316121029759566,False
ap,ExtraTrees_balanced,MSBAINGO-KELM,9.8,12.0,2.1999999999999993,10.316121029759566,False
ap,LR_balanced,BAINGO-KELM,10.4,12.6,2.1999999999999993,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(Sensitivity-mode),RF_balanced,4.6,6.6,2.0,10.316121029759566,False
ap,LR_balanced,PBMSBAINGO-KELM,10.4,12.4,2.0,10.316121029759566,False
ap,PBMSBAINGO-KELM,NGO-KELM,12.4,14.4,2.0,10.316121029759566,False
ap,TIS_NGO-KELM,INGO-KELM,13.2,15.2,2.0,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(Sensitivity-mode),EasyEnsemble,4.6,6.4,1.8000000000000007,10.316121029759566,False
ap,BalancedRF,ExtraTrees_balanced,8.0,9.8,1.8000000000000007,10.316121029759566,False
ap,BAINGO-KELM,NGO-KELM,12.6,14.4,1.8000000000000007,10.316121029759566,False
ap,HistGB,PBMSBAINGO-HGBKELM(MCC-guarded),2.0,3.8,1.7999999999999998,10.316121029759566,False
ap,HistGB,PBMSBAINGO-HGBKELM(F2-mode),2.0,3.6,1.6,10.316121029759566,False
ap,EasyEnsemble,BalancedRF,6.4,8.0,1.5999999999999996,10.316121029759566,False
ap,LR_balanced,MSBAINGO-KELM,10.4,12.0,1.5999999999999996,10.316121029759566,False
ap,RF_balanced,BalancedRF,6.6,8.0,1.4000000000000004,10.316121029759566,False
ap,TIS_NGO-KELM,NGO-KELM,13.2,14.4,1.200000000000001,10.316121029759566,False
ap,MSBAINGO-KELM,TIS_NGO-KELM,12.0,13.2,1.1999999999999993,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(Triad-mode),HistGB,1.0,2.0,1.0,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(F2-mode),PBMSBAINGO-HGBKELM(Sensitivity-mode),3.6,4.6,0.9999999999999996,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(MCC-guarded),PBMSBAINGO-HGBKELM(Sensitivity-mode),3.8,4.6,0.7999999999999998,10.316121029759566,False
ap,PBMSBAINGO-KELM,TIS_NGO-KELM,12.4,13.2,0.7999999999999989,10.316121029759566,False
ap,NGO-KELM,INGO-KELM,14.4,15.2,0.7999999999999989,10.316121029759566,False
ap,ExtraTrees_balanced,LR_balanced,9.8,10.4,0.5999999999999996,10.316121029759566,False
ap,MSBAINGO-KELM,BAINGO-KELM,12.0,12.6,0.5999999999999996,10.316121029759566,False
ap,BAINGO-KELM,TIS_NGO-KELM,12.6,13.2,0.5999999999999996,10.316121029759566,False
ap,MSBAINGO-KELM,PBMSBAINGO-KELM,12.0,12.4,0.40000000000000036,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(F2-mode),PBMSBAINGO-HGBKELM(MCC-guarded),3.6,3.8,0.19999999999999973,10.316121029759566,False
ap,EasyEnsemble,RF_balanced,6.4,6.6,0.1999999999999993,10.316121029759566,False
ap,PBMSBAINGO-KELM,BAINGO-KELM,12.4,12.6,0.1999999999999993,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(Triad-mode),INGO-KELM,1.0,14.2,13.2,10.316121029759566,True
f2,PBMSBAINGO-HGBKELM(Triad-mode),TIS_NGO-KELM,1.0,13.8,12.8,10.316121029759566,True
f2,PBMSBAINGO-HGBKELM(Triad-mode),NGO-KELM,1.0,13.4,12.4,10.316121029759566,True
f2,PBMSBAINGO-HGBKELM(Triad-mode),PBMSBAINGO-KELM,1.0,13.4,12.4,10.316121029759566,True
f2,PBMSBAINGO-HGBKELM(Sensitivity-mode),INGO-KELM,2.6,14.2,11.6,10.316121029759566,True
f2,PBMSBAINGO-HGBKELM(Sensitivity-mode),TIS_NGO-KELM,2.6,13.8,11.200000000000001,10.316121029759566,True
f2,PBMSBAINGO-HGBKELM(F2-mode),INGO-KELM,3.2,14.2,11.0,10.316121029759566,True
f2,PBMSBAINGO-HGBKELM(Triad-mode),BAINGO-KELM,1.0,11.8,10.8,10.316121029759566,True
f2,PBMSBAINGO-HGBKELM(Sensitivity-mode),NGO-KELM,2.6,13.4,10.8,10.316121029759566,True
f2,PBMSBAINGO-HGBKELM(Sensitivity-mode),PBMSBAINGO-KELM,2.6,13.4,10.8,10.316121029759566,True
f2,PBMSBAINGO-HGBKELM(F2-mode),TIS_NGO-KELM,3.2,13.8,10.600000000000001,10.316121029759566,True
f2,PBMSBAINGO-HGBKELM(Triad-mode),MSBAINGO-KELM,1.0,11.6,10.6,10.316121029759566,True
f2,PBMSBAINGO-HGBKELM(Triad-mode),LR_balanced,1.0,11.2,10.2,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(F2-mode),NGO-KELM,3.2,13.4,10.2,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(F2-mode),PBMSBAINGO-KELM,3.2,13.4,10.2,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(MCC-guarded),INGO-KELM,4.0,14.2,10.2,10.316121029759566,False
f2,HistGB,INGO-KELM,4.2,14.2,10.0,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(MCC-guarded),TIS_NGO-KELM,4.0,13.8,9.8,10.316121029759566,False
f2,HistGB,TIS_NGO-KELM,4.2,13.8,9.600000000000001,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(Triad-mode),ExtraTrees_balanced,1.0,10.6,9.6,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(MCC-guarded),NGO-KELM,4.0,13.4,9.4,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(MCC-guarded),PBMSBAINGO-KELM,4.0,13.4,9.4,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(Sensitivity-mode),BAINGO-KELM,2.6,11.8,9.200000000000001,10.316121029759566,False
f2,HistGB,NGO-KELM,4.2,13.4,9.2,10.316121029759566,False
f2,HistGB,PBMSBAINGO-KELM,4.2,13.4,9.2,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(Sensitivity-mode),MSBAINGO-KELM,2.6,11.6,9.0,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(F2-mode),BAINGO-KELM,3.2,11.8,8.600000000000001,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(Sensitivity-mode),LR_balanced,2.6,11.2,8.6,10.316121029759566,False
