dataset,method,policy,auc_deduplicated,ap_deduplicated,mcc_deduplicated,balanced_accuracy_deduplicated,brier_deduplicated,log_loss_deduplicated,auc_raw,ap_raw,mcc_raw,balanced_accuracy_raw,brier_raw,log_loss_raw,delta_raw_minus_deduplicated_auc,delta_raw_minus_deduplicated_ap,delta_raw_minus_deduplicated_mcc,delta_raw_minus_deduplicated_balanced_accuracy,delta_raw_minus_deduplicated_brier,delta_raw_minus_deduplicated_log_loss
PONE2016_h1_target_North_America,Full_random_search,triad,0.9086183310533515,0.917621574635422,0.6620554157025017,0.8305745554035567,0.1359215944293952,0.4283941149423176,0.91170903190914,0.9212505536407072,0.6649972291839843,0.8313953488372092,0.1348512975020222,0.4249692596660917,0.003090700855788442,0.003628979005285138,0.0029418134814825914,0.0008207934336524891,-0.0010702969273729823,-0.00342485527622588
PONE2016_h1_target_North_America,Balanced_logistic,triad,0.8811217510259918,0.9134370704739888,0.6628442637111425,0.8138166894664842,0.1361765994251453,0.4761766750967566,0.8819632233639806,0.9138955819559388,0.6640906067234305,0.813953488372093,0.1353830118187023,0.4760254335421786,0.0008414723379888134,0.0004585114819499747,0.001246343012287987,0.0001367989056088037,-0.0007935876064429914,-0.0001512415545780188
PONE2016_h2_target_Asia,HistGB,triad,0.8546006944444444,0.8322420966926936,0.5843389347222367,0.78125,0.1657008508261986,0.5129137304205235,0.8576388888888888,0.8288769957294724,0.5303300858899107,0.75,0.165582705375431,0.5134903706236313,0.0030381944444444198,-0.0033651009632211792,-0.05400884883232604,-0.03125,-0.00011814545076760385,0.000576640203107881
PONE2016_h2_target_Asia,KELM_PBMSBAINGO,triad,0.9171006944444444,0.9112929211235709,0.529237746757157,0.7291666666666666,0.1731117070098659,0.5305380226915458,0.8741319444444444,0.8729639105730473,0.691260557534428,0.84375,0.1674519033062982,0.5150852510849072,-0.04296875,-0.03832901055052351,0.1620228107772711,0.11458333333333337,-0.005659803703567695,-0.015452771606638604
PONE2016_h2_target_Asia,KELM_score_fusion,triad,0.8546006944444444,0.8322420966926936,0.5843389347222367,0.78125,0.1657008508261986,0.5129137304205235,0.8576388888888888,0.8288769957294724,0.5303300858899107,0.75,0.165582705375431,0.5134903706236313,0.0030381944444444198,-0.0033651009632211792,-0.05400884883232604,-0.03125,-0.00011814545076760385,0.000576640203107881
PONE2016_h2_target_Asia,KELM_risk_feature,triad,0.9144965277777778,0.910165385574686,0.4811252243246881,0.7083333333333334,0.1591643644690465,0.5000044109235863,0.8710937499999999,0.8787560397733465,0.5123778072572299,0.7395833333333333,0.151360074700842,0.4782096117265427,-0.0434027777777779,-0.03140934580133947,0.031252582932541795,0.03124999999999989,-0.007804289768204492,-0.02179479919704358
PONE2016_h2_target_Asia,Full_PBMSBAINGO,triad,0.8398437499999999,0.8183871326793701,0.5123778072572299,0.7395833333333333,0.1634301625943308,0.5044056186656943,0.834201388888889,0.8329361632125962,0.5843389347222367,0.78125,0.164766015956219,0.5118481051742115,-0.005642361111110938,0.014549030533226093,0.07196112746500682,0.04166666666666674,0.0013358533618882118,0.007442486508517199
PONE2016_h2_target_Asia,Uncertainty_gated_fusion,triad,0.9144965277777778,0.910165385574686,0.4811252243246881,0.7083333333333334,0.1591643644690465,0.5000044109235863,0.8710937499999999,0.8787560397733465,0.5123778072572299,0.7395833333333333,0.151360074700842,0.4782096117265427,-0.0434027777777779,-0.03140934580133947,0.031252582932541795,0.03124999999999989,-0.007804289768204492,-0.02179479919704358
PONE2016_h2_target_Asia,Full_random_search,triad,0.8754340277777778,0.8509137536727072,0.5662888944297417,0.7708333333333333,0.1511769530473285,0.4766319358851316,0.8237847222222223,0.8307157186313565,0.5569323991926413,0.7604166666666667,0.1624650254261589,0.5048827769943238,-0.05164930555555547,-0.020198035041350648,-0.00935649523710047,-0.010416666666666519,0.011288072378830394,0.028250841109192237
PONE2016_h2_target_Asia,Balanced_logistic,triad,0.9144965277777776,0.9124399524683342,0.6493659782899173,0.8229166666666667,0.2190746762317519,0.6304146150301188,0.9144965277777776,0.9124399524683342,0.6689936080056726,0.8333333333333333,0.219090309324711,0.6304463869207919,0.0,0.0,0.01962762971575538,0.010416666666666519,1.563309295909976e-05,3.177189067316011e-05
