method,metric,task_count,mean,task_sd,task_bootstrap_ci_low,task_bootstrap_ci_high,mean_within_task_seed_sd,task_wins_including_ties
KELM_score_fusion,specificity,9,0.9145870279036105,0.041624600107604666,0.8892055187673845,0.9403918517864492,0.04306256681754095,0
KELM_score_fusion,brier,9,0.16867968626499208,0.03638429349477815,0.14632880267072923,0.19127848267660658,0.011897361700897072,0
KELM_score_fusion,log_loss,9,0.5164524788075684,0.09541940056618468,0.4579414527203945,0.5747149735940565,0.03503644361535099,0
KELM_risk_feature,auc,9,0.8366605406182538,0.07339447025961725,0.7897001042898885,0.8796358969406022,0.02860033705889624,1
KELM_risk_feature,ap,9,0.8394489458955143,0.07111043430657363,0.7939130575222887,0.8818066607413778,0.031809679498754656,2
KELM_risk_feature,mcc,9,0.48258833282343133,0.11497478945180255,0.40674640755886515,0.5480480309176782,0.07449287360387241,1
KELM_risk_feature,balanced_accuracy,9,0.7221839273548286,0.0621415536506837,0.6816091928675371,0.7576538874721992,0.04345916162741035,0
KELM_risk_feature,sensitivity,9,0.5342393632524891,0.12533724627150655,0.45692725779181415,0.6095165872213395,0.09967139638803896,0
KELM_risk_feature,specificity,9,0.910128491457168,0.04157074975357843,0.8845950101649586,0.936146448539255,0.039219806887511394,0
KELM_risk_feature,brier,9,0.17050292931579503,0.03760858512875134,0.14653297494029907,0.1931842630019934,0.019367239546265416,2
KELM_risk_feature,log_loss,9,0.520792721259316,0.09845954778695086,0.4576483153830498,0.5801649274673261,0.05474871101024343,1
Full_PBMSBAINGO,auc,9,0.8403617165645498,0.07285955497040815,0.7939946257873574,0.8827021433795822,0.011583326555060388,1
Full_PBMSBAINGO,ap,9,0.8297149648533406,0.0768774475248495,0.7821731370244507,0.8755719845006047,0.026537476303109146,0
Full_PBMSBAINGO,mcc,9,0.47701002679885757,0.1544022406268073,0.3765582731740553,0.56669566805753,0.05021148742367606,1
Full_PBMSBAINGO,balanced_accuracy,9,0.7235278839945543,0.08349918304004764,0.668937552718411,0.7710307032036496,0.027457085468278495,1
Full_PBMSBAINGO,sensitivity,9,0.5517359928446698,0.17659388960750658,0.43569422797351304,0.6539298687680891,0.05919543664169416,1
Full_PBMSBAINGO,specificity,9,0.895319775144439,0.04822832863126922,0.866122805455136,0.9258283414829344,0.019231739350103645,1
Full_PBMSBAINGO,brier,9,0.1647690696669547,0.03844493201436558,0.14112461534689252,0.1883721349876001,0.004352529303215334,1
Full_PBMSBAINGO,log_loss,9,0.5029888957738464,0.0939168919601565,0.44446061565903655,0.5590361261987323,0.012243569379890126,1
Full_random_search,auc,9,0.8355038019541356,0.07668105727715292,0.7872147990219527,0.8798677795684482,0.013690913755228068,0
Full_random_search,ap,9,0.8272378640626653,0.08316834397687874,0.7753181076402688,0.8773530067255416,0.022416911920294023,0
Full_random_search,mcc,9,0.45195890487732915,0.16657880461924945,0.34683146090616057,0.5493300659993413,0.059709338077760715,0
Full_random_search,balanced_accuracy,9,0.7082674153329662,0.08829068509987573,0.6516355318924518,0.7599204892197065,0.035273890656754764,0
Full_random_search,sensitivity,9,0.5114828169634745,0.1830356177058207,0.3935150023519542,0.6154974394262815,0.08761407177436345,1
Full_random_search,specificity,9,0.9050520137024581,0.04745952836333894,0.874537063349226,0.9330681744163777,0.02822304911482017,1
Full_random_search,brier,9,0.16615995277188972,0.039237530058298976,0.14211736663472088,0.1900682943351426,0.006009711047665874,1
Full_random_search,log_loss,9,0.5051745819835468,0.0965627989936074,0.4443980315241,0.5621450640743912,0.01600381743431197,3
Uncertainty_gated_fusion,auc,9,0.8382262161460309,0.07412265012051518,0.7909565200728768,0.8819090390348187,0.028573343535657023,1
Uncertainty_gated_fusion,ap,9,0.8427497395431334,0.07148077238061255,0.7970555671329742,0.8843460668809477,0.03226374807232245,2
Uncertainty_gated_fusion,mcc,9,0.48059509442225057,0.11846094737475196,0.40412721969977816,0.5483630129970803,0.07386223586575796,1
Uncertainty_gated_fusion,balanced_accuracy,9,0.7205648097474655,0.06547960334255673,0.6778608686106357,0.758500879584572,0.042146306473589655,0
Uncertainty_gated_fusion,sensitivity,9,0.5292213391991507,0.1393425354294883,0.44103485637723355,0.6124736519706186,0.09310742200019055,0
Uncertainty_gated_fusion,specificity,9,0.9119082802957803,0.045113957540618976,0.8845697957544343,0.9399156757749955,0.03472582994767327,1
Uncertainty_gated_fusion,brier,9,0.1690421656809983,0.03810984964767815,0.14547785779718123,0.1922607387857004,0.01848007522916491,2
Uncertainty_gated_fusion,log_loss,9,0.5172174969813087,0.10054534867942783,0.4533197794728209,0.5773091531891975,0.05104939347149387,1
