dataset,seed,method,policy,test_n,test_positive,threshold,design,selection_note,calibration,gmean,sensitivity,specificity,precision,f1,f05,f2,mcc,triad_score,balanced_accuracy,fpr,predicted_positive_rate,tp,fp,tn,fn,ap,auc,brier,log_loss,ece_10,calibration_intercept,calibration_slope,relative_cost_ratio,cost_per_observation,normalized_cost,sensitivity_ci_low,sensitivity_ci_high,specificity_ci_low,specificity_ci_high,precision_ci_low,precision_ci_high,f2_ci_low,f2_ci_high,mcc_ci_low,mcc_ci_high,triad_score_ci_low,triad_score_ci_high,ap_ci_low,ap_ci_high,auc_ci_low,auc_ci_high,brier_ci_low,brier_ci_high,model_seed,horizon,target_region,source_n,target_n,feature_set
PONE2016_h1_target_Asia,20260729,KELM_score_fusion,cost_2,96,48,0.6878795618935226,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",Plain KELM plus HistGB score-level fusion; alpha=0.05 selected only on search partition.,Platt_logistic_on_separate_calibration_partition,0.8640183897219884,0.8333333333333334,0.8958333333333334,0.8888888888888888,0.8602150537634409,0.8771929824561403,0.8438818565400844,0.7305950062660077,0.8170354314983949,0.8645833333333334,0.1041666666666666,0.46875,40.0,5.0,43.0,8.0,0.945448793751798,0.94140625,0.1023567917748109,0.337541010787145,0.1004571654485023,0.0055174505616488,1.0384366123141069,2.0,0.21875,0.1458333333333333,0.7583333333333333,0.8958333333333334,0.8395833333333333,0.9583333333333334,0.8395833333333333,0.9538277511961722,0.7876811594202899,0.8958333333333334,0.6724224348831919,0.8317844756730484,0.7766804732438631,0.8855461093056308,0.9207987389395202,0.975356569957292,0.9115885416666668,0.9692274305555556,0.066936587530052,0.1318015073177421,20260832,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260729,KELM_score_fusion,cost_5,96,48,0.0926655640982144,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",Plain KELM plus HistGB score-level fusion; alpha=0.05 selected only on search partition.,Platt_logistic_on_separate_calibration_partition,0.67700320038633,1.0,0.4583333333333333,0.6486486486486487,0.7868852459016393,0.6976744186046512,0.9022556390977444,0.5452497568062706,0.6298816763894876,0.7291666666666666,0.5416666666666666,0.7708333333333334,48.0,26.0,22.0,0.0,0.945448793751798,0.94140625,0.1023567917748109,0.337541010787145,0.1004571654485023,0.0055174505616488,1.0384366123141069,5.0,0.2708333333333333,0.0902777777777777,1.0,1.0,0.3541666666666667,0.55625,0.6075949367088608,0.6927536231884057,0.8856088560885609,0.9184952978056428,0.4638856253622454,0.6207239448730644,0.5476959544325987,0.701473409572227,0.932877827566826,0.9798381329795256,0.9159288194444444,0.9746961805555556,0.0600747896047501,0.1137667907207642,20260832,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260729,KELM_score_fusion,cost_10,96,48,0.0926655640982144,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",Plain KELM plus HistGB score-level fusion; alpha=0.05 selected only on search partition.,Platt_logistic_on_separate_calibration_partition,0.67700320038633,1.0,0.4583333333333333,0.6486486486486487,0.7868852459016393,0.6976744186046512,0.9022556390977444,0.5452497568062706,0.6298816763894876,0.7291666666666666,0.5416666666666666,0.7708333333333334,48.0,26.0,22.0,0.0,0.945448793751798,0.94140625,0.1023567917748109,0.337541010787145,0.1004571654485023,0.0055174505616488,1.0384366123141069,10.0,0.2708333333333333,0.0492424242424242,1.0,1.0,0.3604166666666666,0.5145833333333334,0.6099933377748168,0.673315569090217,0.886600209285675,0.9115183395751736,0.4687959804302786,0.588576721867861,0.5527168775416031,0.6714813404216345,0.922117129501036,0.9762353423150864,0.9168402777777778,0.9705295138888888,0.0715619806319359,0.1341385731613932,20260832,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260729,KELM_score_fusion,cost_20,96,48,0.0926655640982144,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",Plain KELM plus HistGB score-level fusion; alpha=0.05 selected only on search partition.,Platt_logistic_on_separate_calibration_partition,0.67700320038633,1.0,0.4583333333333333,0.6486486486486487,0.7868852459016393,0.6976744186046512,0.9022556390977444,0.5452497568062706,0.6298816763894876,0.7291666666666666,0.5416666666666666,0.7708333333333334,48.0,26.0,22.0,0.0,0.945448793751798,0.94140625,0.1023567917748109,0.337541010787145,0.1004571654485023,0.0055174505616488,1.0384366123141069,20.0,0.2708333333333333,0.0257936507936507,1.0,1.0,0.4229166666666666,0.5625,0.6341744772891131,0.6956521739130435,0.8965361869895805,0.9195402298850576,0.5178212207631081,0.6255432421712243,0.602664684151396,0.705981446626545,0.9377363215511136,0.9719454786456944,0.9330295138888888,0.9681857638888888,0.0757195224209263,0.1160986653720558,20260832,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260729,KELM_risk_feature,triad,96,48,0.8669340642733305,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",OOF HistGB risk is a forced KELM input; no score-level fusion.,Platt_logistic_on_separate_calibration_partition,0.699702317656111,0.5,0.9791666666666666,0.96,0.6575342465753424,0.8108108108108109,0.5529953917050692,0.5459195627691725,0.6441471566101725,0.7395833333333333,0.0208333333333333,0.2604166666666667,24.0,1.0,47.0,24.0,0.9415307228348772,0.9305555555555556,0.1030202758901406,0.3503530925508092,0.1114521432742663,0.0352746422051237,1.4273884610014564,,,,0.4020833333333333,0.5375,0.9583333333333334,0.9791666666666666,0.9173076923076924,0.959,0.4542278127183787,0.5871177209886888,0.4636337550269562,0.5496091446721513,0.5667289764230352,0.6570461282287319,0.9201053730391704,0.9503683052589826,0.9036458333333334,0.9467447916666666,0.0913930480589874,0.1150208921030859,20260940,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260729,KELM_risk_feature,cost_1,96,48,0.3072539146890587,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",OOF HistGB risk is a forced KELM input; no score-level fusion.,Platt_logistic_on_separate_calibration_partition,0.8615030470056388,0.9375,0.7916666666666666,0.8181818181818182,0.8737864077669902,0.8395522388059702,0.9109311740890688,0.7370463014996572,0.8178421113390373,0.8645833333333333,0.2083333333333333,0.5729166666666666,45.0,10.0,38.0,3.0,0.9415307228348772,0.9305555555555556,0.1030202758901406,0.3503530925508092,0.1114521432742663,0.0352746422051237,1.4273884610014564,1.0,0.1354166666666666,0.1354166666666666,0.9166666666666666,0.9583333333333334,0.7541666666666667,0.8291666666666667,0.7892857142857143,0.8436813186813187,0.888551031200423,0.9274193548387096,0.68377284430517,0.7606388292556648,0.7803265633381522,0.8325541341883418,0.9313778555193022,0.976333920012672,0.9111111111111112,0.9698350694444444,0.0766009532165262,0.1156756546631991,20260940,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260729,KELM_risk_feature,cost_2,96,48,0.3072539146890587,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",OOF HistGB risk is a forced KELM input; no score-level fusion.,Platt_logistic_on_separate_calibration_partition,0.8615030470056388,0.9375,0.7916666666666666,0.8181818181818182,0.8737864077669902,0.8395522388059702,0.9109311740890688,0.7370463014996572,0.8178421113390373,0.8645833333333333,0.2083333333333333,0.5729166666666666,45.0,10.0,38.0,3.0,0.9415307228348772,0.9305555555555556,0.1030202758901406,0.3503530925508092,0.1114521432742663,0.0352746422051237,1.4273884610014564,2.0,0.1666666666666666,0.1111111111111111,0.8979166666666667,0.9958333333333332,0.7145833333333333,0.8729166666666667,0.7767741935483871,0.8801176470588234,0.8886556027704353,0.9431356362712724,0.6994895961045875,0.8087463034951913,0.7906834932669637,0.8699268349855283,0.9316037139547996,0.9748794556964062,0.9172743055555554,0.973046875,0.079852392119801,0.1103300870881179,20260940,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260729,KELM_risk_feature,cost_5,96,48,0.3072539146890587,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",OOF HistGB risk is a forced KELM input; no score-level fusion.,Platt_logistic_on_separate_calibration_partition,0.8615030470056388,0.9375,0.7916666666666666,0.8181818181818182,0.8737864077669902,0.8395522388059702,0.9109311740890688,0.7370463014996572,0.8178421113390373,0.8645833333333333,0.2083333333333333,0.5729166666666666,45.0,10.0,38.0,3.0,0.9415307228348772,0.9305555555555556,0.1030202758901406,0.3503530925508092,0.1114521432742663,0.0352746422051237,1.4273884610014564,5.0,0.2604166666666667,0.0868055555555555,0.8979166666666667,0.9770833333333332,0.7520833333333333,0.8104166666666667,0.7969491525423729,0.8311320754716981,0.8788647442782781,0.9349989599833596,0.6916274387795244,0.7552462893493307,0.7885462398571069,0.8306839601135321,0.9087591085704174,0.970448005264808,0.890234375,0.9583767361111112,0.0816622103021646,0.1326079522943168,20260940,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260729,KELM_risk_feature,cost_10,96,48,0.1259914904050351,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",OOF HistGB risk is a forced KELM input; no score-level fusion.,Platt_logistic_on_separate_calibration_partition,0.3498511588280555,0.9791666666666666,0.125,0.5280898876404494,0.6861313868613139,0.5816831683168316,0.8362989323843416,0.2003207700537509,0.2905120860423252,0.5520833333333333,0.875,0.9270833333333334,47.0,42.0,6.0,1.0,0.9415307228348772,0.9305555555555556,0.1030202758901406,0.3503530925508092,0.1114521432742663,0.0352746422051237,1.4273884610014564,10.0,0.5416666666666666,0.0984848484848484,0.9583333333333334,1.0,0.0854166666666666,0.1666666666666666,0.5127472527472527,0.5401394808213871,0.8167763661411296,0.8534889277315997,0.0979194971082625,0.2774201294139414,0.2001302804217997,0.3445170109443701,0.9262011269825794,0.9613798696353076,0.8976128472222222,0.9625868055555556,0.0899620708442976,0.1213615211486407,20260940,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260729,KELM_risk_feature,cost_20,96,48,0.1259914904050351,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",OOF HistGB risk is a forced KELM input; no score-level fusion.,Platt_logistic_on_separate_calibration_partition,0.3498511588280555,0.9791666666666666,0.125,0.5280898876404494,0.6861313868613139,0.5816831683168316,0.8362989323843416,0.2003207700537509,0.2905120860423252,0.5520833333333333,0.875,0.9270833333333334,47.0,42.0,6.0,1.0,0.9415307228348772,0.9305555555555556,0.1030202758901406,0.3503530925508092,0.1114521432742663,0.0352746422051237,1.4273884610014564,20.0,0.6458333333333334,0.0615079365079365,0.9604166666666668,1.0,0.0229166666666666,0.1624999999999999,0.5058006718924972,0.5431818181818181,0.8226190476190476,0.8553446553446553,0.1069245508374533,0.2885734694364646,0.1341826073469943,0.3583548356581193,0.8754087775700363,0.9750194845365368,0.853125,0.9731770833333332,0.0770090282450216,0.1504406728211456,20260940,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260729,Full_PBMSBAINGO,triad,96,48,0.9129845582939384,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",Risk feature plus score fusion; alpha=0.05 selected only on search partition.,Platt_logistic_on_separate_calibration_partition,0.6922186552431729,0.4791666666666667,1.0,1.0,0.647887323943662,0.8214285714285714,0.5348837209302325,0.5613096232478871,0.6455001718101668,0.7395833333333334,0.0,0.2395833333333333,23.0,0.0,48.0,25.0,0.9519137340880336,0.940972222222222,0.102886797242155,0.3396305251775026,0.100954238820081,0.0170699167833367,1.0373308525472853,,,,0.4229166666666666,0.6208333333333333,1.0,1.0,1.0,1.0,0.4780166739798157,0.6717444717444717,0.5178212207631081,0.6709487710088927,0.602664684151396,0.7468019533194421,0.9458551379163502,0.9755395816425764,0.9290364583333334,0.9730034722222224,0.0770396520585132,0.1166101869145296,20261036,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260729,Full_PBMSBAINGO,cost_1,96,48,0.6913737214984992,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",Risk feature plus score fusion; alpha=0.05 selected only on search partition.,Platt_logistic_on_separate_calibration_partition,0.8640183897219884,0.8333333333333334,0.8958333333333334,0.8888888888888888,0.8602150537634409,0.8771929824561403,0.8438818565400844,0.7305950062660077,0.8170354314983949,0.8645833333333334,0.1041666666666666,0.46875,40.0,5.0,43.0,8.0,0.9519137340880336,0.940972222222222,0.102886797242155,0.3396305251775026,0.100954238820081,0.0170699167833367,1.0373308525472853,1.0,0.1354166666666666,0.1354166666666666,0.7583333333333333,0.9104166666666668,0.8958333333333334,0.9729166666666668,0.8891304347826087,0.9673423423423424,0.7918117664400346,0.9111344537815126,0.7324457435721285,0.8252617809006382,0.8172700759424629,0.8823528214349733,0.9471236769466194,0.9816159775133704,0.9384114583333332,0.9814236111111112,0.0715452055828407,0.1034493843263974,20261036,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260729,Full_PBMSBAINGO,cost_2,96,48,0.6913737214984992,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",Risk feature plus score fusion; alpha=0.05 selected only on search partition.,Platt_logistic_on_separate_calibration_partition,0.8640183897219884,0.8333333333333334,0.8958333333333334,0.8888888888888888,0.8602150537634409,0.8771929824561403,0.8438818565400844,0.7305950062660077,0.8170354314983949,0.8645833333333334,0.1041666666666666,0.46875,40.0,5.0,43.0,8.0,0.9519137340880336,0.940972222222222,0.102886797242155,0.3396305251775026,0.100954238820081,0.0170699167833367,1.0373308525472853,2.0,0.21875,0.1458333333333333,0.775,0.8958333333333334,0.8145833333333333,0.9729166666666668,0.8272094926350245,0.9688153310104528,0.7961822328371073,0.8910193184137134,0.6508691173972903,0.8330290129530559,0.762061788866239,0.8846052050143817,0.9411382514262504,0.9660184807185714,0.9335503472222222,0.9618055555555556,0.0735387686439208,0.1144819445263119,20261036,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260729,Full_PBMSBAINGO,cost_5,96,48,0.0939762354446396,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",Risk feature plus score fusion; alpha=0.05 selected only on search partition.,Platt_logistic_on_separate_calibration_partition,0.6702378309227255,0.9375,0.4791666666666667,0.6428571428571429,0.7627118644067796,0.6859756097560976,0.8587786259541985,0.4688072309384954,0.5949549181041361,0.7083333333333334,0.5208333333333334,0.7291666666666666,45.0,25.0,23.0,3.0,0.9519137340880336,0.940972222222222,0.102886797242155,0.3396305251775026,0.100954238820081,0.0170699167833367,1.0373308525472853,5.0,0.4166666666666667,0.1388888888888889,0.8770833333333333,0.99375,0.48125,0.5583333333333333,0.6327540106951871,0.6917585983127839,0.8152504472271914,0.9137931034482758,0.4053193580964203,0.6116422812340859,0.5614535331901331,0.6964800435909679,0.931612295377726,0.9850341878911176,0.914105902777778,0.9828993055555556,0.0680220476501829,0.1137406918545176,20261036,1,Asia,342,96,V1-V10_financial_only
