cost_ratio_fn_to_fp,dataset,method,mean_normalized_cost,sd_across_repeats,n_repeats
50.0,3year.arff,PBMSBAINGO-HGBKELM(MCC-guarded),0.3953693073096058,0.06642916213530949,10
50.0,3year.arff,HistGB,0.39568503635667823,0.06198971473328182,10
50.0,3year.arff,TIS_NGO-KELM,0.47141216991963264,0.06315640369802525,10
50.0,4year.arff,PBMSBAINGO-HGBKELM(Triad-mode),0.25496060001898796,0.043959359865770486,10
50.0,4year.arff,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.3151808601538023,0.04845704530183156,10
50.0,4year.arff,EasyEnsemble,0.34241906389442706,0.06739838607311882,10
50.0,4year.arff,PBMSBAINGO-HGBKELM(F2-mode),0.37514478306275517,0.0556148884588024,10
50.0,4year.arff,HistGB,0.3794170701604481,0.04792917229721602,10
50.0,4year.arff,PBMSBAINGO-HGBKELM(MCC-guarded),0.3900882939333523,0.02796557189956445,10
50.0,4year.arff,BalancedRF,0.4096173929554733,0.07355779995275738,10
50.0,4year.arff,TIS_NGO-KELM,0.44537168897749935,0.08866601684565169,10
50.0,5year.arff,PBMSBAINGO-HGBKELM(Triad-mode),0.24785897435897436,0.07273685179587613,10
50.0,5year.arff,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.25433333333333336,0.0733150964513276,10
50.0,5year.arff,PBMSBAINGO-HGBKELM(F2-mode),0.3066794871794872,0.06195730710865846,10
50.0,5year.arff,PBMSBAINGO-HGBKELM(MCC-guarded),0.32547435897435895,0.080479039359144,10
50.0,5year.arff,HistGB,0.32706410256410257,0.056041316497703914,10
50.0,5year.arff,EasyEnsemble,0.4087179487179487,0.059977958792753944,10
50.0,5year.arff,BalancedRF,0.4090641025641026,0.06927821129549969,10
50.0,5year.arff,TIS_NGO-KELM,0.48157692307692307,0.09111576233697884,10
