dataset,seed,method,mcc,sensitivity,specificity,precision,f2,ap,tp,fp,tn,fn
1year.arff,9,Balanced_forest_reference,0.2328372848677011,0.4814814814814814,0.9018737672583826,0.1638655462184874,0.3469750889679715,0.1748378977845673,39.0,199.0,1829.0,42.0
1year.arff,9,EasyEnsemble_reference,0.267891641347581,0.5432098765432098,0.9018737672583826,0.1810699588477366,0.3880070546737214,0.2005571854327092,44.0,199.0,1829.0,37.0
1year.arff,10,Balanced_logistic,0.2374518983870442,0.6790123456790124,0.8170611439842209,0.1291079812206572,0.3666666666666666,0.2244125720994038,55.0,371.0,1657.0,26.0
1year.arff,10,Random_forest,0.3844854885545093,0.6790123456790124,0.9225838264299804,0.2594339622641509,0.5130597014925374,0.4542942969512883,55.0,157.0,1871.0,26.0
1year.arff,10,Extra_trees,0.2266243995701358,0.5555555555555556,0.8658777120315582,0.1419558359621451,0.3510140405616225,0.1809723521943596,45.0,272.0,1756.0,36.0
1year.arff,10,HistGB_fair,0.6544068240445691,0.6419753086419753,0.9886587771203156,0.6933333333333334,0.6516290726817042,0.7004229158054186,52.0,23.0,2005.0,29.0
1year.arff,10,Balanced_forest_reference,0.2941871027997923,0.5679012345679012,0.9092702169625246,0.2,0.4151624548736461,0.3768243608428297,46.0,184.0,1844.0,35.0
1year.arff,10,EasyEnsemble_reference,0.3125479470709331,0.6172839506172839,0.903846153846154,0.2040816326530612,0.4393673110720562,0.2598070400963969,50.0,195.0,1833.0,31.0
2year.arff,1,Balanced_logistic,0.1644058009565218,0.5083333333333333,0.8233287858117326,0.1053540587219343,0.2880075542965061,0.1358596169375,61.0,518.0,2414.0,59.0
2year.arff,1,Random_forest,0.2622308344657308,0.5166666666666667,0.9062073669849932,0.1839762611275964,0.379436964504284,0.2694932653852259,62.0,275.0,2657.0,58.0
2year.arff,1,Extra_trees,0.1297516173688506,0.4416666666666666,0.8202592087312415,0.0913793103448275,0.25,0.1223806857686494,53.0,527.0,2405.0,67.0
2year.arff,1,HistGB_fair,0.5302604998251996,0.4333333333333333,0.9918144611186904,0.6842105263157895,0.4676258992805755,0.5588581459230042,52.0,24.0,2908.0,68.0
