dataset,seed,method,fit_n,validation_n,test_n,test_positive,threshold_policy,threshold,validation_threshold_utility,fit_seconds,gmean,sensitivity,specificity,precision,f1,f05,f2,mcc,triad_score,balanced_accuracy,fpr,predicted_positive_rate,tp,fp,tn,fn,ap,auc
1year.arff,4,HistGB_fair,2800,1230,2109,81,triad,0.07474780831362887,0.7096273600961815,2.9575242999999958,0.8065043495443042,0.654320987654321,0.9940828402366864,0.8153846153846154,0.726027397260274,0.777126099706745,0.6812339331619537,0.7209828441794829,0.7769256375989301,0.8242019139455037,0.005917159763313609,0.030820293978188716,53.0,12.0,2016.0,28.0,0.7578524292603351,0.9485748898142061
1year.arff,4,Balanced_forest_reference,2800,1230,2109,81,triad,0.507670393811533,0.46520348036441644,0.2563103999999967,0.7354153299342993,0.6296296296296297,0.8589743589743589,0.1513353115727003,0.24401913875598089,0.17844646606018197,0.3857791225416036,0.25626345875787243,0.5175083325681983,0.7443019943019943,0.14102564102564102,0.15979137031768612,51.0,286.0,1742.0,30.0,0.28998026736832705,0.8289441644142499
1year.arff,4,EasyEnsemble_reference,2800,1230,2109,81,triad,0.5175114878498749,0.5860843975358658,1.438881600000002,0.7140887963468607,0.5308641975308642,0.960552268244576,0.34959349593495936,0.42156862745098045,0.37521815008726,0.4809843400447427,0.40298048123561797,0.5901052565167142,0.74570823288772,0.03944773175542406,0.05832147937411095,43.0,80.0,1948.0,38.0,0.37851548437594557,0.8905812452821
1year.arff,5,Balanced_logistic,2800,1230,2109,81,triad,0.5783912955007422,0.38487726120485144,0.07771999999999935,0.6765826937816436,0.5432098765432098,0.8427021696252466,0.12121212121212122,0.19819819819819817,0.14350945857795175,0.32023289665211063,0.19646689782117877,0.448033394651307,0.6929560230842282,0.15729783037475345,0.1721194879089616,44.0,319.0,1709.0,37.0,0.1385962989001157,0.7532933985925439
1year.arff,5,Random_forest,2800,1230,2109,81,triad,0.25077816180646184,0.5892194692109688,0.6650635999999963,0.6915510620375509,0.49382716049382713,0.9684418145956607,0.38461538461538464,0.4324324324324325,0.4024144869215292,0.46728971962616817,0.41029608560761427,0.5810969905782086,0.7311344875447439,0.03155818540433925,0.049312470365101946,40.0,64.0,1964.0,41.0,0.4659624980073809,0.8932658825821218
1year.arff,5,Extra_trees,2800,1230,2109,81,triad,0.2918048175180153,0.45715520888774597,0.317551899999998,0.619805464356352,0.43209876543209874,0.8890532544378699,0.1346153846153846,0.20527859237536655,0.15611061552185548,0.2996575342465753,0.18772927936767184,0.41624363434502565,0.6605760099349843,0.11094674556213018,0.12328117591275486,35.0,225.0,1803.0,46.0,0.1382241052989207,0.7671183675457179
1year.arff,5,HistGB_fair,2800,1230,2109,81,triad,0.027593238661855358,0.7742650040547839,2.9816444000000004,0.8199487614852959,0.6790123456790124,0.9901380670611439,0.7333333333333333,0.7051282051282051,0.7217847769028871,0.6892230576441104,0.694375084213982,0.7757513126511849,0.8345752063700782,0.009861932938856016,0.03556187766714083,55.0,20.0,2008.0,26.0,0.720220918248586,0.9266046947670878
1year.arff,5,Balanced_forest_reference,2800,1230,2109,81,triad,0.5870773558368494,0.5456026541286808,0.24128899999999476,0.7024467706906253,0.5308641975308642,0.9294871794871795,0.23118279569892472,0.3220973782771535,0.2606060606060606,0.4215686274509804,0.3119750170393794,0.5359392356873265,0.7301756885090218,0.07051282051282051,0.08819345661450925,43.0,143.0,1885.0,38.0,0.33129588291469136,0.8591965568461294
1year.arff,5,EasyEnsemble_reference,2800,1230,2109,81,triad,0.5134542427774904,0.5512921310967805,1.4467092000000008,0.7520234309866388,0.6172839506172839,0.9161735700197239,0.22727272727272727,0.33222591362126247,0.2601456815816858,0.45955882352941174,0.33538914898746003,0.574562464554113,0.7667287603185039,0.08382642998027613,0.10431484115694642,50.0,170.0,1858.0,31.0,0.35756751454049157,0.8695789806900918
1year.arff,6,Balanced_logistic,2800,1230,2109,81,triad,0.566466718876319,0.3872271924693149,0.08998520000000099,0.6775896743753365,0.5555555555555556,0.8264299802761341,0.11335012594458438,0.18828451882845187,0.1348112642300779,0.3120665742024965,0.18779164642824156,0.4417771773498273,0.6909927679158449,0.17357001972386588,0.18824087245139876,45.0,352.0,1676.0,36.0,0.20591079516761693,0.7807911461757616
