dataset,seed,method,cost_ratio,normalized_cost
1year.arff,7,Balanced_logistic,10,0.24770965468639888
1year.arff,7,Balanced_logistic,20,0.3215460526315789
1year.arff,7,Balanced_logistic,50,0.4249753208292201
1year.arff,7,Random_forest,1,0.10763394973921289
1year.arff,7,Random_forest,2,0.1182648401826484
1year.arff,7,Random_forest,5,0.14591039868475134
1year.arff,7,Random_forest,10,0.1814658210007047
1year.arff,7,Random_forest,20,0.22889254385964913
1year.arff,7,Random_forest,50,0.29532741033234616
1year.arff,7,Extra_trees,1,0.13513513513513514
1year.arff,7,Extra_trees,2,0.14977168949771688
1year.arff,7,Extra_trees,5,0.18783394985614468
1year.arff,7,Extra_trees,10,0.23678646934460887
1year.arff,7,Extra_trees,20,0.3020833333333333
1year.arff,7,Extra_trees,50,0.3935505100361961
1year.arff,7,HistGB_fair,1,0.02275960170697013
1year.arff,7,HistGB_fair,2,0.036986301369863014
1year.arff,7,HistGB_fair,5,0.07398273736128237
1year.arff,7,HistGB_fair,10,0.12156448202959831
1year.arff,7,HistGB_fair,20,0.18503289473684212
1year.arff,7,HistGB_fair,50,0.27393879565646595
1year.arff,7,Balanced_forest_reference,1,0.14604077761972498
1year.arff,7,Balanced_forest_reference,2,0.15753424657534246
1year.arff,7,Balanced_forest_reference,5,0.187422934648582
1year.arff,7,Balanced_forest_reference,10,0.22586328400281888
1year.arff,7,Balanced_forest_reference,20,0.27713815789473684
1year.arff,7,Balanced_forest_reference,50,0.3489634748272458
1year.arff,7,EasyEnsemble_reference,1,0.10858226647700332
1year.arff,7,EasyEnsemble_reference,2,0.11963470319634703
1year.arff,7,EasyEnsemble_reference,5,0.14837648993012742
1year.arff,7,EasyEnsemble_reference,10,0.18534178999295278
1year.arff,7,EasyEnsemble_reference,20,0.23464912280701755
1year.arff,7,EasyEnsemble_reference,50,0.3037183283974992
1year.arff,8,Balanced_logistic,1,0.09151256519677572
1year.arff,8,Balanced_logistic,2,0.11050228310502283
1year.arff,8,Balanced_logistic,5,0.15988491574188246
1year.arff,8,Balanced_logistic,10,0.22339675828047922
1year.arff,8,Balanced_logistic,20,0.3081140350877193
1year.arff,8,Balanced_logistic,50,0.42678512668641
1year.arff,8,Random_forest,1,0.09435751541014699
1year.arff,8,Random_forest,2,0.10319634703196347
1year.arff,8,Random_forest,5,0.12618166872174272
1year.arff,8,Random_forest,10,0.15574348132487667
1year.arff,8,Random_forest,20,0.19517543859649122
1year.arff,8,Random_forest,50,0.2504113195129977
1year.arff,8,Extra_trees,1,0.10431484115694642
1year.arff,8,Extra_trees,2,0.12557077625570776
1year.arff,8,Extra_trees,5,0.1808466913275791
1year.arff,8,Extra_trees,10,0.25193798449612403
1year.arff,8,Extra_trees,20,0.34676535087719296
1year.arff,8,Extra_trees,50,0.4795985521553143
1year.arff,8,HistGB_fair,1,0.032716927453769556
1year.arff,8,HistGB_fair,2,0.043835616438356165
1year.arff,8,HistGB_fair,5,0.07274969173859433
1year.arff,8,HistGB_fair,10,0.10993657505285412
