horizon,target_region,method,auc,ap,mcc,balanced_accuracy,brier,log_loss,ece_10,calibration_intercept,calibration_slope,absolute_intercept,absolute_slope_error
1,North America,Balanced_logistic,0.8811217510259917,0.9134370704739888,0.6628442637111425,0.8138166894664842,0.1361765994251453,0.4761766750967566,0.0917051679781037,-0.3812038432277311,0.6158875907588395,0.3812038432277311,0.3841124092411605
1,North America,Full_PBMSBAINGO,0.8997811217510261,0.9053299600804932,0.635538395389033,0.8166210670314638,0.1371781583196559,0.43212716432264686,0.08900043604389288,-0.2768885396647899,1.0245201990138055,0.2768885396647899,0.024520199013805533
1,North America,Full_random_search,0.9047058823529411,0.913099470580789,0.6172884514229662,0.8004514363885089,0.13677102880877232,0.43171728848291646,0.0838038697775649,-0.30596831809046854,1.0515305044607601,0.30596831809046854,0.05153050446076013
1,North America,HistGB,0.9073871409028728,0.9192924561283295,0.6397337567110021,0.8189466484268128,0.1380057893140534,0.4358467176219614,0.0852486738382041,-0.3019941550334707,1.0520519148822234,0.3019941550334707,0.05205191488222338
1,North America,KELM_PBMSBAINGO,0.8894664842681259,0.8998708650253386,0.6525373854913394,0.8181532147742818,0.1321173972229722,0.4229124910027801,0.06328378903783542,-0.08393925270737404,0.9574351220590807,0.08393925270737404,0.04256487794091934
1,North America,KELM_risk_feature,0.8601231190150479,0.8384430352125707,0.5802669422082931,0.7830506155950753,0.16412310155101145,0.49909374108255244,0.07557854370681329,-0.02473578649538627,1.004001697720326,0.02473578649538627,0.004001697720326103
1,North America,KELM_score_fusion,0.9023529411764706,0.9148929378453332,0.6584765797899582,0.8272093023255813,0.13418061081488228,0.42601256282885513,0.07786958680031383,-0.2660120317976519,0.9783573525561489,0.2660120317976519,0.021642647443851137
1,North America,Uncertainty_gated_fusion,0.8743091655266758,0.8663325626407559,0.5834119586014331,0.7853351573187415,0.1511189641579015,0.46415432777698207,0.07185525420845203,-0.13826878188456643,1.0954637802656437,0.13826878188456643,0.09546378026564373
2,Asia,Balanced_logistic,0.9144965277777775,0.9124399524683342,0.6493659782899173,0.8229166666666667,0.21907467623175186,0.6304146150301188,0.2833259752304422,0.1994753342087673,15.21592508268925,0.1994753342087673,14.21592508268925
2,Asia,Full_PBMSBAINGO,0.8551215277777778,0.8234356524261512,0.5588449438309265,0.7687499999999998,0.16279384531519422,0.5049838572182603,0.1235715014368894,-0.08360924770962601,1.5320557774850987,0.08360924770962601,0.5320557774850987
